"RK","PLAYER NAME",TEAM,"POS","OPP","UPSIDE ","BUST ","MATCHUP "
"145","Cooper Kupp",SEA,"WR53","vs. LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"146","Marquise Brown",KC,"WR54","at TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"147","Olamide Zaccheaus",CHI,"WR55","vs. GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"148","Darnell Mooney",ATL,"WR56","at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"149","Jordan Mason",MIN,"RB39","at NYG","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"150","Josh Downs",IND,"WR57","vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"151","Zach Charbonnet",SEA,"RB40","vs. LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"152","Parker Washington",JAC,"WR58","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"153","Tyler Allgeier",ATL,"RB41","at ARI","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"154","Chris Rodriguez Jr.",WAS,"RB42","vs. PHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"155","T.J. Hockenson",MIN,"TE23","at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"156","Samaje Perine",CIN,"RB43","at MIA","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"157","Isiah Pacheco",KC,"RB44","at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"158","Pat Bryant",DEN,"WR59","vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"159","Tyjae Spears",TEN,"RB45","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"160","Alec Pierce",IND,"WR60","vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"161","Evan Engram",DEN,"TE24","vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"162","Tre Tucker",LV,"WR61","at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"163","Emari Demercado",ARI,"RB46","vs. ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"164","Devin Singletary",NYG,"RB47","vs. MIN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"165","Gunnar Helm",TEN,"TE25","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"166","Elic Ayomanor",TEN,"WR62","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"167","Ryan Flournoy",DAL,"WR63","vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"168","Xavier Legette",CAR,"WR64","vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"169","Evan Hull",NO,"RB48","vs. NYJ","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"170","Isaiah Likely",BAL,"TE26","vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"171","Malik Washington",MIA,"WR65","vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"172","Tre Harris",LAC,"WR66","at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"173","Chig Okonkwo",TEN,"TE27","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"174","Pat Freiermuth",PIT,"TE28","at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"175","Matthew Golden",GB,"WR67","at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"176","Rachaad White",TB,"RB49","at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"177","Jacory Croskey-Merritt",WAS,"RB50","vs. PHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"178","Kendrick Bourne",SF,"WR68","at IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"179","Andrei Iosivas",CIN,"WR69","at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"180","David Sills V",ATL,"WR70","at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"181","Jalen Nailor",MIN,"WR71","at NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"182","Marvin Mims Jr.",DEN,"WR72","vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"183","Dawson Knox",BUF,"TE29","at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"184","Jack Bech",LV,"WR73","at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"185","Emanuel Wilson",GB,"RB51","at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"186","Keaton Mitchell",BAL,"RB52","vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"187","Cole Kmet",CHI,"TE30","vs. GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"188","Jeremy McNichols",WAS,"RB53","vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"189","Quentin Johnston",LAC,"WR74","at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"190","Jalen McMillan",TB,"WR75","at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"191","Ty Johnson",BUF,"RB54","at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"192","Brian Robinson Jr.",SF,"RB55","at IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"193","Luke Musgrave",GB,"TE31","at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"194","Isaac TeSlaa",DET,"WR76","vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"195","Christian Kirk",HOU,"WR77","vs. LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"196","Dontayvion Wicks",GB,"WR78","at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"197","Sean Tucker",TB,"RB56","at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"198","JuJu Smith-Schuster",KC,"WR79","at TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"199","DeMario Douglas",NE,"WR80","at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"200","Jaleel McLaughlin",DEN,"RB57","vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"201","Joshua Palmer",BUF,"WR81","at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"202","Nick Chubb",HOU,"RB58","vs. LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"203","Jonnu Smith",PIT,"TE32","at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"204","Isaiah Hodgins",NYG,"WR82","vs. MIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"205","Rashod Bateman",BAL,"WR83","vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"206","Isaiah Williams",NYJ,"WR84","at NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"207","Isaiah Davis",NYJ,"RB59","at NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"208","Mason Tipton",NO,"WR85","vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"209","Darnell Washington",PIT,"TE33","at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"210","Van Jefferson",TEN,"WR86","vs. KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"211","Malik Davis",DAL,"RB60","vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"212","Konata Mumpfield",LAR,"WR87","at SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"213","Ja'Tavion Sanders",CAR,"TE34","vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"214","Calvin Austin III",PIT,"WR88","at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"215","LeQuint Allen Jr.",JAC,"RB61","at DEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"216","Isaiah Bond",CLE,"WR89","vs. BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"217","Demarcus Robinson",SF,"WR90","at IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"218","Ben Sinnott",WAS,"TE35","vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"219","Cade Otton",TB,"TE36","at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"220","Tutu Atwell",LAR,"WR91","at SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"221","DeAndre Hopkins",BAL,"WR92","vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"222","Ameer Abdullah",IND,"RB62","vs. SF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"223","Greg Dulcich",MIA,"TE37","vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars"
"224","Kevin Austin Jr.",NO,"WR93","vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"225","Tyler Lockett",LV,"WR94","at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"226","Rasheen Ali",BAL,"RB63","vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"227","KaVontae Turpin",DAL,"WR95","vs. LAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"228","Cedric Tillman",CLE,"WR96","vs. BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
"229","Jaylen Wright",MIA,"RB64","vs. CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"230","Jawhar Jordan",HOU,"RB65","vs. LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"231","Lil'Jordan Humphrey",DEN,"WR97","vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars"
"232","Tank Bigsby",PHI,"RB66","at WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"233","Xavier Hutchinson",HOU,"WR98","vs. LV","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars"
